拆迁,其他违禁,0.8
拆迁,其他违禁,0.8
安眠酮,其他违禁,1
血浆,其他违禁,1
西布曲明,其他违禁,1
甲睾酮,其他违禁,1
adrenaline,其他违禁,1
苯巴比妥,其他违禁,1
促性腺激素,其他违禁,1
麻黄草,其他违禁,1
雄烯二醇,其他违禁,1
strychnine,其他违禁,1
新型毒品,其他违禁,1
杜冷丁,其他违禁,1
兴奋剂,其他违禁,1
mdma,其他违禁,1
海洛因,其他违禁,1
海luo因,其他违禁,1
heroin,其他违禁,1
diamorphine,其他违禁,1
diacetylmorphine,其他违禁,1
鸦片,其他违禁,1
阿芙蓉,其他违禁,1
咖啡因,其他违禁,1
cocain,其他违禁,1
三唑仑,其他违禁,1
美沙酮,其他违禁,1
麻古,其他违禁,1
k粉,其他违禁,1
凯他敏,其他违禁,1
ketamine,其他违禁,1
冰毒,其他违禁,1
苯丙胺,其他违禁,1
cannabis,其他违禁,1
大麻,其他违禁,1
爱他死,其他违禁,1
氯胺酮,其他违禁,1
裸聊一对一,其他违禁,1
同城上门服务,广告,1
benzodiazepines,其他违禁,1
甲基安非他明,其他违禁,1
可以内射,其他违禁,1
安非他命,其他违禁,1
吗啡,其他违禁,1
露波露B,其他违禁,1
morphine,其他违禁,1
摇头丸,其他违禁,1
迷药,其他违禁,1
乖乖粉,其他违禁,1
narcotic,其他违禁,1
化妆水,广告,0.8
想看大鸡巴,广告,1
只进入身体,广告,1
想看大鸡吧,广告,1
想看大鸡鸡,广告,1
看激情表演,广告,1
给你撩,广告,0.8
月炮加我,广告,1
这个平台不会用,广告,0.5
互看身体,广告,1
专业代理,广告,1
帮忙点一下,广告,1
帮忙点下,广告,1
请点击进入,广告,1
详情请进入,广告,1
私人侦探,其他违禁,1
私家侦探,其他违禁,1
针孔摄象,其他违禁,1
调查婚外情,其他违禁,1
无抵押贷款,广告,1
广告代理,广告,1
原音铃声,广告,1
借腹生子,其他违禁,1
找个妈妈,其他违禁,1
找个爸爸,其他违禁,1
代孕妈妈,其他违禁,1
代生孩子,其他违禁,1
代开发票,其他违禁,1
腾讯客服电话,广告,1
销售热线,广告,1
销售,广告,0.4
加群,广告,0.6
转让,广告,0.6
直销,广告,0.6
订购,广告,0.6
热卖,广告,0.6
定购,广告,0.6
见面交易,广告,0.6
加工,广告,0.6
提供,广告,0.6
批发,广告,0.6
出售,广告,0.6
专卖,广告,0.6
货到付款,广告,0.6
制作,广告,0.6
改装,广告,0.6
改进,广告,0.6
现货,广告,0.6
支持验货,广告,0.6
做紧女人,广告,0.6
供应,广告,0.6
组装,广告,0.6
担保交易,广告,0.6
定货,广告,0.6
精选,广告,0.6
抢购,广告,0.6
试货付款,广告,0.6
送货上门,广告,0.6
付款,广告,0.6
求购,广告,0.6
订货,广告,0.6
当面交易,广告,0.6
预订,广告,0.6
满意付款,广告,0.6
到付,广告,0.6
拆装,广告,0.6
免定金,广告,0.6
下注,广告,0.6
开奖,广告,0.6
开户,广告,0.6
投注,广告,0.6
注册,广告,0.6
办理,广告,0.6
开瞟,广告,0.6
代开,广告,0.6
代办,广告,0.6
票据,广告,0.6
回收,广告,0.6
克隆,广告,0.6
免费订购热线,广告,1
低价出售,广告,1
款到发货,广告,1
回复可见,广告,1
连锁加盟,广告,1
加盟连锁,广告,1
免费二级域名,广告,1
免费使用,广告,1
免费索取,广告,1
蚁力神,涉敏感,0.8
婴儿汤,其他违禁,1
售肾,其他违禁,1
刻章办,其他违禁,1
套牌车,其他违禁,1
六位qq,广告,1
6位qq,广告,1
位的qq,广告,1
个qb,广告,1
送qb,广告,1
用刀横向切腹,其他违禁,1
完全自杀手册,其他违禁,1
四海帮,其他违禁,1
足球投注,其他违禁,1
地下钱庄,其他违禁,1
中国复兴党,其他违禁,1
阿波罗网,涉敏感,1
曾道人,其他违禁,1
六合彩,其他违禁,1
改卷内幕,其他违禁,1
替考试,其他违禁,1
隐形耳机,其他违禁,1
出售答案,其他违禁,1
考中答案,其他违禁,1
答an,其他违禁,0.8
da案,其他违禁,0.8
股市圈钱,其他违禁,0.8
崩盘,其他违禁,0.8
周小川,涉敏感,1
刘明康,涉敏感,1
尚福林,涉敏感,1
孔丹,涉敏感,1
杨树宽,涉敏感,1
中印边界谈判结果,涉敏感,1
喂奶门,低俗,1
摸nai门,低俗,1
酒瓶门,低俗,1
脱裤门,低俗,1
75事件,涉敏感,1
新疆骚乱,涉敏感,1
yangjia,涉敏感,1
y佳,涉敏感,1
yang佳,涉敏感,1
杨佳,涉敏感,0.8
杨j,涉敏感,1
袭警,暴恐,1
杀警,暴恐,1
川b26931,涉敏感,1
贺立旗,涉敏感,1
周正毅,涉敏感,0.8
px项目,涉敏感,0.8
骂四川,涉敏感,1
家l福,涉敏感,0.8
家le福,涉敏感,0.8
加了服,涉敏感,0.8
麦当劳被砸,涉敏感,0.8
这不是天灾,涉敏感,0.8
龙小霞,涉敏感,0.8
震其国土,涉敏感,0.8
隐瞒地震,涉敏感,1
地震来得更猛烈,涉敏感,1
八级地震毫无预报,涉敏感,1
踩踏事故,涉敏感,0.8
聂树斌,涉敏感,0.8
万里大造林,涉敏感,1
陈相贵,涉敏感,0.8
张丹红,涉敏感,1
尹方明,涉敏感,1
李树菲,涉敏感,1
王奉友,涉敏感,0.8
